contract_id,is_weekend,count_supports,count_all_days,supports_per_day,supports_per_week,count_of_month,count_of_week,max_subsequence,count_of_bad_trigger_calls,count_of_good_calls,event_type_Абонент оставил отзыв в Личном кабинете,event_type_Активация ГП с IVR,event_type_Активация автоматического гарантированного платежа,event_type_Активация гарантированного платежа,event_type_Активация точки подключения на сутки,event_type_Без границ бесплатно. Включение,event_type_Без границ бесплатно. Отключение,event_type_Без границ платно. Включение,event_type_Без границ платно. Отключение,event_type_Блокировка,event_type_Блокировка лицевого счета,event_type_Бонус-скорость,event_type_Виртуальное бессмертие. Включение,event_type_Виртуальное бессмертие. Использование,event_type_Виртуальное бессмертие. Отключение,event_type_Включена 10% скидка,event_type_Включена 20% скидка,event_type_Включена 30% скидка,event_type_Включение IPTV-пакета,event_type_Включение Бесплатной аренды,event_type_Включение автоматической активации ГП,event_type_Включение блокировки лицевого счета,event_type_Включение интернета на 20 минут,event_type_Включение интернета на 20 минут с IVR,event_type_Включение ограничения функций ТВ,event_type_Включение старых условий аренды,event_type_Включение управления услугами по паролю,event_type_Включение услуги Аренда ТВ-приставки,event_type_Внесение,event_type_Внутреннее сообщение,event_type_Возвращение гарантированного платежа,event_type_Возвращение клиента,event_type_Восстановление пароля,event_type_Выключение IPTV-пакета,event_type_Гарантированный платеж за деньги,event_type_Добавление IP-адреса,event_type_Добавление в Обращались с номеров,event_type_Закрепление сообщения,event_type_Закрытие информатора об изменении уведомлений через ВК платформу,event_type_Замена оборудования,event_type_Изменение данных клиента,event_type_Изменение истории,event_type_Изменение контактных телефонов,event_type_Изменение пакета HD. Закрытие лендинг-информера,event_type_Изменение схемы оплаты,event_type_Информер ВК. Закрытие,event_type_Информер ВК. Показ,event_type_Манипуляции с оборудованием,event_type_Оборудование,event_type_Обращение в службу заботы о клиентах,event_type_Общий счет. Отсоединение от донора,event_type_Общий счет. Отсоединение реципиента,event_type_Окончание рассрочки за подключение,event_type_Операция с mac-адресом,event_type_Отключение  ограничения функций ТВ,event_type_Отключение автоматической активации ГП,event_type_Отключение скидки,event_type_Отключение скидки 10%,event_type_Отключение скидки 20%,event_type_Отключение управления услугами по паролю,event_type_Отключение услуги Автоплатёж,event_type_Отключение услуги Аренда ТВ-приставки,event_type_Отмена гарантированного платежа,event_type_Перенос денежных средств,event_type_Подписка на ivi. Включение триала,event_type_Подписка на ivi. Отключение автопродления подписки,event_type_Показ информатора об изменении уведомлений через ВК платформу,event_type_Получение подарка в ЛК: 1 месяц бесплатного просмотра IPTV,event_type_Получение подарка в ЛК: сутки интернета на максимальной скорости,event_type_Предложение IPTV,event_type_Предложение ТВ,event_type_Предложение ТВ-пакета,event_type_Предложение автоплатежа,event_type_Предложение доп.гарантии на роутер,event_type_Предложение расширенной гарантии на ТВ приставку,event_type_Предложение роутера,event_type_Предложение тарифа,event_type_Принято заявление и доп. соглашение по переезду,event_type_Продление действия тарифа,event_type_Просмотр раздела Тайный покупатель,event_type_Разблокировка,event_type_Расторжение,event_type_Реестр договоров,event_type_Родительский контроль. Включение,event_type_Родительский контроль. Выключение,event_type_Смена IP-адреса,event_type_Смена пароля,event_type_Смена следующего тарифа,event_type_Смена схемы оплаты,event_type_Смена тарифа,event_type_Состояние клиентского оборудования,event_type_Становление участником бонусной программы,event_type_Тайный покупатель,event_type_Тайный покупатель. Отправлена анкета,event_type_Турбокнопка бесплатно,event_type_Турбокнопка платно (1 сутки),event_type_Турбокнопка платно (1 час),event_type_Уведомления: отключение,event_type_Уведомления: подключение,event_type_Уведомления: подтверждение,event_type_Удаление ip-адреса,event_type_Удаление из Обращались с номеров,event_type_Удаление телефона из записи,event_type_Футболка Ситилинк,event_type_Чек лист выполненных работ при регистрации,is_weekend_concurent,competitor_count_visit,count_competitor_all_days,competitor_per_day,competitor_per_week,competitor_per_month,competitor_count_of_month,competitor_count_of_week,competitor_count_support_days,competitor_max_subsequence,count_of_bad_links,count_of_good_links,first_competitor,second_competitor,set_of_competitor,day_or_month_contract
3453,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,5.0,2.0,2.0,2.5,4.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0
3454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,5.0,2.0,2.0,2.5,4.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0
3455,0.1111111111111111,4.0,2.0,1.6,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,24.0,9.0,2.6666666666666665,6.0,24.0,1.0,4.0,9.0,5.0,9.0,0.0,19.0,5.0,2.0,1.0
3456,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,5.0,2.0,2.0,2.5,4.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0
3457,0.25,4.0,4.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,5.0,2.0,2.0,2.5,4.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0
3458,0.217391304347826,23.0,12.0,1.9166666666666667,2.555555555555556,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
3459,0.5,6.0,5.0,1.2,2.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0
3460,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,10.0,2.0,5.0,5.0,10.0,1.0,2.0,2.0,8.0,0.0,0.0,10.0,0.0,1.0,0.0
3461,0.1111111111111111,4.0,2.0,1.6,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
3462,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,5.0,2.0,2.0,2.5,4.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0
